HGNC ID(s)	Agilent SurePrint G3 GE 8x60k v2 probe
HGNC:47243	
	
	
	
	
	
	
	
	
	
HGNC:48404	
	
	
	
HGNC:44627	
HGNC:32019	
HGNC:32019	
HGNC:32019	
HGNC:43036	
	
HGNC:10480	
HGNC:24814	
HGNC:24814	
HGNC:6079	
HGNC:6079	
HGNC:6079	
HGNC:6079	
HGNC:6079	
HGNC:6079	
HGNC:6079	
HGNC:6079	
HGNC:6079	
HGNC:6079	
HGNC:6079	
HGNC:6079	
HGNC:6079	
HGNC:6079	
HGNC:23381	
HGNC:23381	
HGNC:23381	
HGNC:23381	
HGNC:23381	
HGNC:25236	
HGNC:25236	
HGNC:25236	
HGNC:25236	
HGNC:10922	
HGNC:10922	
HGNC:10922	
HGNC:10922	
HGNC:10922	
HGNC:10922	
HGNC:10922	
HGNC:38862	
	
HGNC:23412	
HGNC:24062	
	
	
HGNC:23680	
HGNC:17582	
HGNC:17582	
HGNC:17582	
HGNC:17582	
HGNC:17582	
HGNC:17582	
HGNC:17582	
HGNC:18270	
HGNC:18270	
HGNC:18270	
HGNC:18270	
HGNC:18270	
HGNC:18270	
HGNC:18270	
HGNC:18270	
HGNC:18270	
HGNC:11478	
HGNC:11478	
HGNC:10430	
HGNC:10430	
HGNC:10430	
HGNC:10430	
HGNC:10430	
HGNC:10430	
HGNC:10430	
HGNC:10430	
HGNC:10430	
HGNC:10430	
HGNC:10430	
HGNC:10430	
HGNC:10430	
HGNC:10430	
HGNC:10430	
HGNC:10430	
HGNC:10430	
HGNC:10430	
HGNC:10430	
HGNC:10430	
HGNC:7684	
HGNC:7684	
HGNC:7684	
HGNC:7684	
HGNC:7684	
HGNC:7684	
HGNC:7684	
HGNC:7684	
HGNC:7684	
HGNC:7684	
HGNC:7684	
HGNC:7684	
HGNC:7684	
HGNC:7684	
	
	
	
	
HGNC:21018	
HGNC:21018	
HGNC:21018	
HGNC:21018	
HGNC:21018	
HGNC:18367	
HGNC:18367	
HGNC:18367	
HGNC:11477	
HGNC:11477	
HGNC:11477	
HGNC:11477	
HGNC:11477	
HGNC:11477	
HGNC:11477	
HGNC:11477	
HGNC:11477	
HGNC:11477	
HGNC:42530	
	
HGNC:27713	
HGNC:27713	
HGNC:27713	
HGNC:18337	
HGNC:46048	
HGNC:44588	
	
HGNC:41876	
HGNC:18368	
HGNC:18368	
HGNC:18368	
HGNC:18368	
HGNC:18368	
	
HGNC:37064	
HGNC:46695	
	
HGNC:12955	
HGNC:12955	
HGNC:12955	
HGNC:12955	
HGNC:12955	
HGNC:12955	
HGNC:12955	
HGNC:12955	
HGNC:34125	
	
	
	
	
HGNC:10364	
HGNC:10364	
HGNC:10364	
HGNC:10364	
HGNC:10364	
HGNC:10364	
HGNC:10364	
HGNC:10364	
HGNC:10364	
HGNC:20449	
	
	
HGNC:30297	
HGNC:30297	
HGNC:30297	
HGNC:10146	
HGNC:10164	
HGNC:10163	
HGNC:10165	
	
HGNC:26720	
HGNC:26720	
HGNC:26720	
HGNC:26720	
HGNC:44594	
HGNC:11474	
HGNC:11474	
HGNC:11474	
HGNC:11474	
HGNC:11474	
HGNC:21498	
HGNC:21498	
HGNC:21498	
HGNC:21498	
HGNC:21498	
HGNC:21498	
HGNC:21498	
HGNC:21498	
HGNC:21498	
HGNC:21498	
HGNC:21498	
HGNC:21498	
HGNC:21498	
HGNC:21498	
HGNC:21498	
HGNC:21498	
HGNC:21498	
HGNC:21498	
HGNC:12988	
HGNC:12988	
HGNC:12988	
HGNC:12988	
HGNC:12988	
HGNC:12988	
HGNC:11475	
HGNC:11475	
HGNC:11475	
HGNC:40620	
HGNC:13099	
HGNC:13099	
HGNC:13099	
HGNC:13099	
HGNC:13099	
HGNC:13099	
HGNC:11476	
HGNC:11476	
HGNC:11476	
HGNC:11476	
HGNC:11476	
HGNC:11476	
HGNC:11476	
HGNC:11476	
HGNC:11476	
	
HGNC:44599	
HGNC:23718	
HGNC:23718	
HGNC:23718	
HGNC:23718	
HGNC:23717	
HGNC:23717	
HGNC:23717	
HGNC:23717	
HGNC:23717	
HGNC:29198	
HGNC:29198	
HGNC:28669	
HGNC:28669	
HGNC:28669	
HGNC:28669	
HGNC:28669	
HGNC:12820	
HGNC:12820	
HGNC:12820	
HGNC:12820	
HGNC:12820	
HGNC:12820	
HGNC:32561	
HGNC:32562	
HGNC:17273	
HGNC:17273	
HGNC:17273	
HGNC:17273	
HGNC:17273	
HGNC:17273	
HGNC:17273	
HGNC:10521	
HGNC:10521	
HGNC:10521	
HGNC:10521	
HGNC:10521	
HGNC:10521	
HGNC:10521	
HGNC:10521	
HGNC:10521	
HGNC:10521	
HGNC:10521	
HGNC:10521	
HGNC:10521	
HGNC:10521	
HGNC:10521	
HGNC:10521	
	
HGNC:28444	
HGNC:28444	
HGNC:28444	
HGNC:11780	
HGNC:11780	
HGNC:11780	
HGNC:11780	
HGNC:11780	
HGNC:11780	
HGNC:2851	
HGNC:2851	
HGNC:2851	
HGNC:2851	
HGNC:2851	
HGNC:2851	
HGNC:2851	
HGNC:2851	
HGNC:2851	
HGNC:2851	
HGNC:2851	
HGNC:2851	
HGNC:2851	
HGNC:2851	
HGNC:1366	
HGNC:1366	
HGNC:1366	
HGNC:1366	
HGNC:1366	
HGNC:1366	
HGNC:1366	
HGNC:1366	
HGNC:1366	
	
HGNC:18470	
HGNC:18470	
HGNC:18470	
HGNC:18470	
HGNC:18470	
HGNC:18470	
HGNC:18470	
HGNC:18470	
HGNC:18470	
HGNC:18470	
HGNC:18470	
	
HGNC:1365	
HGNC:1365	
HGNC:1365	
HGNC:1365	
HGNC:1365	
HGNC:1365	
HGNC:1365	
HGNC:11011	
HGNC:11011	
HGNC:11011	
HGNC:11011	
HGNC:11011	
HGNC:79	
HGNC:1004	
HGNC:1004	
HGNC:1004	
	
	
	
	
	
HGNC:23940	
	
	
	
HGNC:42743	
HGNC:14086	
HGNC:42744	
HGNC:24482	
	
HGNC:33207	
HGNC:17055	
HGNC:17055	
HGNC:17055	
HGNC:17055	
HGNC:17055	
HGNC:17055	
HGNC:17055	
HGNC:17055	
HGNC:17055	
HGNC:17055	
HGNC:17055	
	
HGNC:51892	
HGNC:30088	
HGNC:29295	
	
HGNC:16657	
HGNC:16657	
HGNC:16657	
HGNC:16657	
HGNC:16657	
HGNC:16657	
HGNC:16657	
HGNC:16657	
HGNC:16657	
HGNC:16657	
HGNC:16657	
HGNC:16657	
HGNC:16657	
HGNC:16657	
HGNC:20331	
HGNC:20331	
HGNC:28841	
HGNC:31971	
HGNC:27997	
HGNC:39938	
HGNC:28415	
HGNC:28415	
HGNC:48035	
HGNC:51891	
	
HGNC:5835	
HGNC:30583	
HGNC:30583	
	
HGNC:50831	
HGNC:29980	
HGNC:29980	
HGNC:29980	
HGNC:51890	
HGNC:51234	
	
	
	
	
HGNC:49179	
HGNC:49179	
HGNC:49179	
HGNC:6698	
HGNC:6698	
HGNC:6698	
HGNC:6698	
HGNC:6698	
HGNC:6698	
HGNC:6698	
HGNC:51235	
HGNC:51895	
HGNC:51896	
HGNC:30460	
HGNC:30460	
HGNC:30460	
HGNC:30460	
HGNC:30460	
HGNC:30460	
HGNC:30460	
HGNC:30460	
HGNC:30460	
HGNC:30460	
HGNC:48813	
HGNC:51897	
HGNC:51897	
	
HGNC:49178	
HGNC:51333	
HGNC:27996	
HGNC:13262	
HGNC:30693	
HGNC:51893	
HGNC:36552	
	
HGNC:27995	
	
HGNC:51894	
HGNC:47406	
HGNC:47734	
	
HGNC:10413	
HGNC:10413	
HGNC:10413	
HGNC:10413	
HGNC:10413	
HGNC:10413	
HGNC:24074	
HGNC:24074	
HGNC:24074	
	
HGNC:23481	
HGNC:47508	
	
HGNC:47281	
HGNC:25505	
HGNC:25505	
HGNC:25505	
HGNC:25505	
HGNC:26764	
HGNC:26764	
HGNC:35940	
HGNC:26524	
HGNC:49193	
HGNC:17950	
HGNC:17950	
HGNC:17950	
HGNC:17950	
	
	
	
HGNC:17909	
HGNC:17909	
HGNC:17909	
HGNC:17909	
HGNC:17909	
HGNC:17909	
HGNC:19943	
HGNC:19943	
HGNC:19943	
HGNC:19943	
HGNC:19943	
HGNC:19943	
HGNC:19943	
HGNC:19943	
HGNC:19943	
HGNC:19943	
HGNC:19943	
HGNC:19943	
HGNC:19943	
HGNC:19943	
HGNC:19943	
	
	
	
HGNC:31953	
	
HGNC:3092	
HGNC:3092	
HGNC:3092	
HGNC:3092	
HGNC:3092	
HGNC:3092	
HGNC:3092	
HGNC:3092	
HGNC:50012	
HGNC:16931	
HGNC:16931	
HGNC:16931	
HGNC:16931	
HGNC:16931	
HGNC:16931	
HGNC:16931	
HGNC:16931	
HGNC:16931	
HGNC:16931	
HGNC:16931	
HGNC:16931	
HGNC:16931	
HGNC:16931	
HGNC:16931	
HGNC:16931	
HGNC:16931	
HGNC:16931	
HGNC:16931	
HGNC:16931	
HGNC:16931	
HGNC:16931	
HGNC:3599	
HGNC:3599	
HGNC:3599	
HGNC:3599	
HGNC:3599	
HGNC:3599	
HGNC:3599	
HGNC:3599	
HGNC:3599	
HGNC:3599	
HGNC:3599	
HGNC:3599	
HGNC:50618	
HGNC:9551	
HGNC:9551	
HGNC:9551	
HGNC:9551	
HGNC:9551	
HGNC:9551	
HGNC:28671	
HGNC:28671	
HGNC:28671	
HGNC:28671	
HGNC:28671	
HGNC:28671	
HGNC:28671	
HGNC:28671	
HGNC:28671	
	
HGNC:33109	
HGNC:33109	
HGNC:33109	
HGNC:33109	
HGNC:33109	
HGNC:33109	
HGNC:33109	
	
	
	
HGNC:27603	
HGNC:27603	
HGNC:27603	
HGNC:27603	
HGNC:27603	
HGNC:27603	
HGNC:27603	
HGNC:27603	
HGNC:27603	
HGNC:27603	
HGNC:27603	
HGNC:14583	
HGNC:14583	
HGNC:14583	
HGNC:14583	
HGNC:14583	
HGNC:14583	
HGNC:14583	
HGNC:14583	
HGNC:14583	
	
HGNC:13572	
HGNC:4982	
HGNC:4982	
HGNC:4982	
HGNC:4982	
HGNC:4982	
HGNC:4982	
HGNC:4982	
HGNC:4982	
HGNC:4982	
HGNC:4982	
HGNC:4982	
HGNC:4982	
HGNC:4982	
HGNC:4982	
HGNC:4982	
